subj,session,trial,rt,object_response,category,condition,imagename
resnet50,1,1,NaN,airplane,airplane,0,0001_sif_dnn_0_airplane_00_airplane1.png
resnet50,1,2,NaN,airplane,airplane,0,0002_sif_dnn_0_airplane_00_airplane10.png
resnet50,1,3,NaN,airplane,airplane,0,0003_sif_dnn_0_airplane_00_airplane2.png
resnet50,1,4,NaN,airplane,airplane,0,0004_sif_dnn_0_airplane_00_airplane3.png
resnet50,1,5,NaN,bird,airplane,0,0005_sif_dnn_0_airplane_00_airplane4.png
resnet50,1,6,NaN,airplane,airplane,0,0006_sif_dnn_0_airplane_00_airplane5.png
resnet50,1,7,NaN,airplane,airplane,0,0007_sif_dnn_0_airplane_00_airplane6.png
resnet50,1,8,NaN,airplane,airplane,0,0008_sif_dnn_0_airplane_00_airplane7.png
resnet50,1,9,NaN,chair,airplane,0,0009_sif_dnn_0_airplane_00_airplane8.png
resnet50,1,10,NaN,airplane,airplane,0,0010_sif_dnn_0_airplane_00_airplane9.png
resnet50,1,11,NaN,cat,bear,0,0011_sif_dnn_0_bear_00_bear1.png
resnet50,1,12,NaN,bear,bear,0,0012_sif_dnn_0_bear_00_bear10.png
resnet50,1,13,NaN,bear,bear,0,0013_sif_dnn_0_bear_00_bear2.png
resnet50,1,14,NaN,bear,bear,0,0014_sif_dnn_0_bear_00_bear3.png
resnet50,1,15,NaN,bear,bear,0,0015_sif_dnn_0_bear_00_bear4.png
resnet50,1,16,NaN,bear,bear,0,0016_sif_dnn_0_bear_00_bear5.png
resnet50,1,17,NaN,bird,bear,0,0017_sif_dnn_0_bear_00_bear6.png
resnet50,1,18,NaN,bird,bear,0,0018_sif_dnn_0_bear_00_bear7.png
resnet50,1,19,NaN,bear,bear,0,0019_sif_dnn_0_bear_00_bear8.png
resnet50,1,20,NaN,dog,bear,0,0020_sif_dnn_0_bear_00_bear9.png
resnet50,1,21,NaN,bicycle,bicycle,0,0021_sif_dnn_0_bicycle_00_bicycle1.png
resnet50,1,22,NaN,bicycle,bicycle,0,0022_sif_dnn_0_bicycle_00_bicycle10.png
resnet50,1,23,NaN,bicycle,bicycle,0,0023_sif_dnn_0_bicycle_00_bicycle2.png
resnet50,1,24,NaN,bicycle,bicycle,0,0024_sif_dnn_0_bicycle_00_bicycle3.png
resnet50,1,25,NaN,bicycle,bicycle,0,0025_sif_dnn_0_bicycle_00_bicycle4.png
resnet50,1,26,NaN,bicycle,bicycle,0,0026_sif_dnn_0_bicycle_00_bicycle5.png
resnet50,1,27,NaN,bicycle,bicycle,0,0027_sif_dnn_0_bicycle_00_bicycle6.png
resnet50,1,28,NaN,bicycle,bicycle,0,0028_sif_dnn_0_bicycle_00_bicycle7.png
resnet50,1,29,NaN,bicycle,bicycle,0,0029_sif_dnn_0_bicycle_00_bicycle8.png
resnet50,1,30,NaN,bicycle,bicycle,0,0030_sif_dnn_0_bicycle_00_bicycle9.png
resnet50,1,31,NaN,bird,bird,0,0031_sif_dnn_0_bird_00_bird1.png
resnet50,1,32,NaN,bird,bird,0,0032_sif_dnn_0_bird_00_bird10.png
resnet50,1,33,NaN,cat,bird,0,0033_sif_dnn_0_bird_00_bird2.png
resnet50,1,34,NaN,bird,bird,0,0034_sif_dnn_0_bird_00_bird3.png
resnet50,1,35,NaN,cat,bird,0,0035_sif_dnn_0_bird_00_bird4.png
resnet50,1,36,NaN,bird,bird,0,0036_sif_dnn_0_bird_00_bird5.png
resnet50,1,37,NaN,bird,bird,0,0037_sif_dnn_0_bird_00_bird6.png
resnet50,1,38,NaN,bird,bird,0,0038_sif_dnn_0_bird_00_bird7.png
resnet50,1,39,NaN,bird,bird,0,0039_sif_dnn_0_bird_00_bird8.png
resnet50,1,40,NaN,bird,bird,0,0040_sif_dnn_0_bird_00_bird9.png
resnet50,1,41,NaN,knife,boat,0,0041_sif_dnn_0_boat_00_boat1.png
resnet50,1,42,NaN,knife,boat,0,0042_sif_dnn_0_boat_00_boat10.png
resnet50,1,43,NaN,knife,boat,0,0043_sif_dnn_0_boat_00_boat2.png
resnet50,1,44,NaN,bird,boat,0,0044_sif_dnn_0_boat_00_boat3.png
resnet50,1,45,NaN,knife,boat,0,0045_sif_dnn_0_boat_00_boat4.png
resnet50,1,46,NaN,chair,boat,0,0046_sif_dnn_0_boat_00_boat5.png
resnet50,1,47,NaN,knife,boat,0,0047_sif_dnn_0_boat_00_boat6.png
resnet50,1,48,NaN,knife,boat,0,0048_sif_dnn_0_boat_00_boat7.png
resnet50,1,49,NaN,knife,boat,0,0049_sif_dnn_0_boat_00_boat8.png
